COD_VICIDIAL;Calif_1;Calif_2;Calif_3;concatenado;Estado;Peso
3N12NA;Conecta - efectivo - Cliente;No venta ;RUT no asegurable;Conecta - efectivo - ClienteNo venta RUT no asegurable;;45
3N13CB;Conecta - efectivo - Cliente;No venta ;Comuna Bloqueada;Conecta - efectivo - ClienteNo venta Comuna Bloqueada;;75
2C37DS;Conecta - efectivo - Cliente;No venta ;Denuncia de siniestro;Conecta - efectivo - ClienteNo venta Denuncia de siniestro;;95
3X2VL;Conecta - efectivo - Cliente;Volver a Llamar;;Conecta - efectivo - ClienteVolver a Llamar;;73
1NC3FX;No conecta;Fax;;No conectaFax;Terminado;26
ADCT;No conecta;Congestionado;;No conectaCongestionado;;16
2C71NE;Conecta - efectivo - Cliente;No Interesa;No entrega motivos;Conecta - efectivo - ClienteNo InteresaNo entrega motivos;;85
CSCCB;Conecta - No efectivo - Tercero;Cliente sin cuenta corriente Bci;No entrega motivos;Conecta - No efectivo - TerceroCliente sin cuenta corriente BciNo entrega motivos;;45
2C69BC;Conecta - efectivo - Cliente;No Interesa;No entrega motivos;Conecta - efectivo - ClienteNo InteresaNo entrega motivos;;85
VEWSP;Conecta - efectivo - Cliente;Interesa;Venta;Conecta - efectivo - ClienteInteresaVenta;;100
2C1VI;Conecta - efectivo - Cliente;Interesa;Venta;Conecta - efectivo - ClienteInteresaVenta;;100
2C1VG;Conecta - efectivo - Cliente;Interesa;Venta;Conecta - efectivo - ClienteInteresaVenta;;100
VTANVA;Conecta - efectivo - Cliente;Interesa;Venta;Conecta - efectivo - ClienteInteresaVenta;;100
PU;Conecta - efectivo - Cliente;Agent Not Available;Agent Not Available;Conecta - efectivo - ClienteAgent Not AvailableAgent Not Available;;35
2C70SE;Conecta - Efectivo - Cliente;No Interesa;Busca seguro estructural;Conecta - Efectivo - ClienteNo InteresaBusca seguro estructural;;85
CDBS;Conecta - efectivo - Cliente;No venta;Cliente dio de baja Seguro;Conecta - efectivo - ClienteNo ventaCliente dio de baja Seguro;;53
CNDESC;Conecta - efectivo - Cliente;No Interesa;Cliente No Desea Escuchar;Conecta - efectivo - ClienteNo InteresaCliente No Desea Escuchar;;84
CNET;Conecta - No efectivo - Tercero;Conecta no efectivo tercero;Conecta no efectivo tercero;Conecta - No efectivo - TerceroConecta no efectivo terceroConecta no efectivo tercero;;31
2C73CE;Conecta - efectivo - Cliente;Interesa;Cotizacion Enviada;Conecta - efectivo - ClienteInteresaCotizacion Enviada;;97
2C75CE;Conecta - efectivo - Cliente;No venta;Cuenta Corriente Erronea;Conecta - efectivo - ClienteNo ventaCuenta Corriente Erronea;;69
ADAIR;No conecta;Dead Air Auto;Dead Air Auto;No conectaDead Air AutoDead Air Auto;;19
2E18MM;Conecta - efectivo - Cliente;No venta;DPA Moto mayor a 250 cc.;Conecta - efectivo - ClienteNo ventaDPA Moto mayor a 250 cc.;;68
ERI;Error Agente;Error Agente;Error Agente;Error AgenteError AgenteError Agente;;3
TIMEOT;Conecta - efectivo - Cliente;Agent Not Available;Inbound Queue Timeout Drop;Conecta - efectivo - ClienteAgent Not AvailableInbound Queue Timeout Drop;;35
QUEUE;No conecta;Lead To Be Called;Lead To Be Called;No conectaLead To Be CalledLead To Be Called;;21
DNCC;Lista Negra Campaña;Lista Negra Campaña;Lista Negra Campaña;Lista Negra CampañaLista Negra CampañaLista Negra Campaña;;80
DNCL;Lista Negra Vicidial;Lista Negra Vicidial;Lista Negra Vicidial;Lista Negra VicidialLista Negra VicidialLista Negra Vicidial;;80
MNCCAS;Conecta - efectivo - Cliente;No Venta;Mascota No Cumple Condiciones;Conecta - efectivo - ClienteNo VentaMascota No Cumple Condiciones;;46
2C74NA;Conecta - efectivo - Cliente;No venta ;No Asegurable por Materialidad;Conecta - efectivo - ClienteNo venta No Asegurable por Materialidad;;46
5ANOCO;No conecta;No contesta;No contesta;No conectaNo contestaNo contesta;;18
NCCMC2;Conecta - efectivo - Cliente;No venta;No Cumple Condiciones Mat Cons;Conecta - efectivo - ClienteNo ventaNo Cumple Condiciones Mat Cons;;46
NEW;No Discado;No Discado;No Discado;No DiscadoNo DiscadoNo Discado;;1
NTTP;No Tipificado;No Tipificado en Tiempo Predeterminado;No Tipificado en Tiempo Predeterminado;No TipificadoNo Tipificado en Tiempo PredeterminadoNo Tipificado en Tiempo Predeterminado;;17
2C72PV;Conecta - efectivo - Cliente;Interesa;Preventa;Conecta - efectivo - ClienteInteresaPreventa;;99
2C2REC;Conecta - efectivo - Cliente;Recuperacion;Recuperacion;Conecta - efectivo - ClienteRecuperacionRecuperacion;;98
SEINFO;Conecta - efectivo - Cliente;Interesa;Se entrega Informacion;Conecta - efectivo - ClienteInteresaSe entrega Informacion;;97
INFWSP;Conecta - efectivo - Cliente;Interesa;Se Envia Info Whatsapp;Conecta - efectivo - ClienteInteresaSe Envia Info Whatsapp;;97
2C76SC;Conecta - efectivo - Cliente;No venta;Seguro Cotizado por Colaborado;Conecta - efectivo - ClienteNo ventaSeguro Cotizado por Colaborado;;68
2C68SP;Conecta - efectivo - Cliente;No venta;Sin prevision de salud;Conecta - efectivo - ClienteNo ventaSin prevision de salud;;50
CYLLD;Conecta - Efectivo - Cliente;No Interesa;Ya Contactado Anteriormente;Conecta - Efectivo - ClienteNo InteresaYa Contactado Anteriormente;;81
2E31PV;Conecta - Efectivo - Cliente;Interesa;Pre-venta;;;
PENPAG;Conecta - Efectivo - Cliente;Pendiente de pago;;;;
ENINGO;Conecta - Efectivo - Cliente;Envio informacion por GO;;;;
